aah	ah
detour	detq̇r
detoxify	detoksifí
detract	detrakt
detractor	detraktor
deuteron	dúteron
deutschmark	doʸcmark
devaluation	devalúásion
devalue	devalú
devastate	devastát
develop	develop
developer	developer
development	development
developmentalist	developmentalist
deviant	déviant
deviate	déviát
deviation	déviásion
device	devís
devil	devil
devise	devíz
devolve	devolv
devote	devót
devotee	devóté
devotion	devósion
devour	devq́r
dew	duʷ
dewdrop	duʷdrop
diabetic	díabetik
diagnose	díagnós
diagnosis	díagnósis
diagonal	díagonal
diagram	díagram
dial	díal
dialect	díalekt
dialectic	díalektik
dialogue	díalog
diameter	díameter
diamond	díamond
diaper	díaper
diarist	díarist
diary	díaré
diatribe	díatríb
dice	diʸs
dichotomy	díkotomé
dick	dik
dickens	dikenz
dickhead	dikhed
dictate	diktát
dictator	diktátor
dictatorship	diktátorxip
dictionary	diksionaré
dictum	diktum
diddle	didel
die	diʸ
diehard	diʸhard
diesel	dézel
diet	díet
dieter	díeter
dietician	díetisian
dietitian	díetisian
diff	dif
differ	difer
difference	diferens
differential	diferensial
differentiate	diferensiát
differentiation	diferensiásion
difficulty	difikulté
diffuse	difúz
diffuse	difús
dig	dig
digest	díjest
digestion	díjestion
digestive	díjestiv
digger	diger
digit	dijit
digitise	dijitíz
digitiser	dijitízer
digitize	dijitízer
dignitary	dignitaré
dignity	dignité
digress	dígres
digression	dígresion
dike	diʸk
dilate	dílát
dildo	dildó
dilemma	dilema
dilly	dilé
dilute	dílút
dilution	dílúsion
dim	dim
dimension	dimension
dimer	dímer
diminish	diminix
dimple	dimpel
din	din
dinar	dinar
dine	diʸn
diner	diʸner
dinghy	diŋé
dinner	diner
dinosaur	dínosår
dinucleotide	dínúléotíd
diocese	díoséz
diode	díód
dioxin	díoksin
dip	dip
diphthong	difþoŋ
diploma	diplóma
diplomat	diplomat
dipole	dípoʷl
dipper	diper
dire	diʸr
direct	direkt
direction	direksion
directive	direksion
director	direktor
directorate	direktorat
directorship	direktorxip
directory	direktoré
dirty	dirté
disability	disabilité
disable	disábel
disabuse	disabúz
disadvantage	disadvantaj
disaggregate	disagregat
disagree	disagré
disagreement	disagrément
disallow	disalqʷ
disambiguate	disambigúát
disappear	disapér
disappearance	disapérans
disapply	disaplí
disappoint	disapoʸnt
disappointment	disapoʸntment
disapprove	disaprq̇v
disarm	disarm
disassemble	disasembel
disassociate	disasósiát
disaster	dizaster
disavow	disavqʷ
disband	disband
disbar	disbar
disbelieve	disbeleʸv
disburse	disburs
disbursement	disbursment
disc	disk
discard	diskard
discern	disern
discharge	discarj
discharger	discarjer
disciple	disípel
disciplinarian	disiplinarian
discipline	disiplin
disclaim	disklám
disclaimer	disklámer
disclose	disklóz
disclosure	disklózúr
disco	diskó
discolour	diskulor
discomfort	diskumfort
disconcert	diskonsert
disconfirm	diskonfirm
disconnect	diskonekt
disconnection	diskoneksion
discontent	diskontent
discontinue	diskontinú
discontinuity	diskontinúité
discord	diskord
discotheque	diskótek
discount	diskq́nt
discounter	diskq́nter
discourage	diskuraj
discourse	diskórs
discover	diskuver
discoverer	diskuverer
discovery	diskuveré
discredit	diskredit
discrepancy	diskrepansé
discretion	diskresion
discriminate	diskriminát
discrimination	diskriminásion
discuss	diskus
discussion	diskusion
disdain	disdán
disease	dizéz
disembark	disembark
disembody	disembodé
disembowel	disembq́l
disempower	disempq́r
disenfranchise	disenfrancíz
disengage	disengáj
disentangle	disentaŋgel
disentitle	disentítel
disestablish	disestablix
disfigure	disfigúr
disgorge	disgorj
disgrace	disgraʸs
disguise	disgíz
disgust	disgust
dish	dix
dishearten	disharten
dishonour	disonor
dishwash	dixwox
dishwasher	dixwoxer
disillusion	disilúzion
disincentive	disinsentiv
disinfect	disinfekt
disinfectant	disinfektant
disinherit	disinherit
disintegrate	disintegrát
disjunct	disjuŋkt
disk	disk
diskette	disket
dislike	disliʸk
dislocate	dislókát
dislocation	dislókásion
dislodge	disloj
dismantle	dismantel
dismay	dismaʸ
dismember	dismember
dismiss	dismis
dismissal	dismisal
dismount	dismq́nt
disobey	disóbaʸ
disorder	disorder
disorganise	disorganíz
disorganize	disorganíz
disorient	disórient
disorientate	disórientát
disown	disoʷn
disparage	disparaj
disparity	disparité
dispatch	dispac
dispel	dispel
dispensary	dispensaré
dispensation	dispensásion
dispense	dispens
dispenser	dispenser
dispersal	dispersal
disperse	dispers
disperser	disperser
dispersion	disperzion
dispirit	dispirit
displace	displaʸs
displacement	displaʸsment
display	displaʸ
displease	displeʸz
disposal	dispózal
dispose	dispóz
disposition	dispozision
dispossess	dispozes
disprove	disprq̇v
dispute	dispút
disqualification	diskwolifikásion
disqualify	diskwolifí
disquiet	diskwíet
disregard	disregard
disrobe	disrób
disrupt	disrupt
disruption	disrupsion
dissatisfaction	disatisfaksion
dissect	dísekt
dissection	díseksion
dissemble	disembel
disseminate	diseminát
dissent	disent
dissenter	disenter
dissertation	disertation
dissident	disident
dissimilarity	disimilarité
dissipate	disipát
dissociate	disósiát
dissociation	disósiásion
dissolve	dizolv
dissonance	disonans
dissuade	diswád
distance	distans
distend	distend
distension	distension
distill	distil
distiller	distiler
distillery	distileré
distinction	distiŋksion
distinguish	distiŋgwix
distort	distort
distortion	distorsion
distract	distrakt
distraction	distraksion
distractor	distraktor
distress	distres
distributary	distribútaré
distribute	distribút
distribution	distribúsion
distributor	distribútor
district	distrikt
distrust	distrust
disturb	disturb
disturbance	disturbans
ditch	dic
dither	diðer
ditty	dité
diuretic	díúretik
divan	divan
dive	diʸv
diver	diʸver
diverge	diverj
divergence	diverjens
diversify	diversifí
diversion	diversion
diversity	diversité
divert	divert
divest	dívest
divestment	dívestment
divide	divíd
dividend	dividend
divider	divíder
divine	divín
divinity	divinité
division	divizion
divisor	divízor
divorce	divórs
divorcee	divórsé
divulge	divulj
dizzy	dizé
do	dq̇
doberman	dóberman
doc	dok
dock	dok
docker	doker
dockland	dokland
dockworker	dokwurker
dockyard	dokyard
doctor	doktor
doctorate	doktorat
doctrine	doktrin
document	dokúment
documentary	dokúmentaré
dodder	doder
dodge	doj
dodgem	dojem
dodger	dojer
doer	dq̇er
doff	dof
dog	dog
dogfight	dogfiʸt
doggy	dogé
dogma	dogma
dogmatic	dogmatik
doing	dq̇iŋ
doldrum	dóldrum
dole	doʷl
doll	dol
dollar	dolar
dollop	dolop
dolly	dolé
dolomite	dólomít
dolores	dolóres
dolphin	dolfin
domain	dómán
dome	doʷm
domestic	dómestik
domesticate	dómestikát
domicile	domisíl
dominate	dominát
domineer	dominér
dominican	dominikan
dominion	dominion
domino	domino
don	don
donate	dónát
donation	dónásion
donkey	doŋké
donor	dónor
doodle	dq̇del
doom	dq̇m
door	doʷr
doorman	doʷrman
doorstep	doʷrstep
doorway	doʷrwaʸ
dope	doʷp
dormer	dormer
dormitory	dormitoré
dosage	dósaj
dose	doʷs
doss	dos
dossier	doseaʸ
dot	dot
dote	doʷt
double	dubel
doublet	dubelet
doubling	dubeliŋ
doubt	dqʷt
doubter	dqʷter
doughnut	doʷnut
douse	dqʷs
dove	duv
dovetail	duvtaʸl
dowel	dqʷel
down	dqʷn
downer	dqʷner
downgrade	dqʷngraʸd
downgrading	dqʷngraʸdiŋ
downheart	dqʷnhart
downland	dqʷnland
downlight	dqʷnliʸt
downlighter	dqʷnliʸter
download	dqʷnloʷd
downpipe	dqʷnpiʸp
downplay	dqʷnplaʸ
downpour	dqʷnpoʷr
downsize	dqʷnsiʸz
downturn	dqʷnturn
dowry	dq́ré
dowse	dqʷs
dowser	dqʷser
doze	doʷz
drab	drab
drachma	drakma
draft	draft
drafter	drafter
draftsman	draftsman
drag	drag
dragon	dragon
dragonfly	dragonfliʸ
drain	draʸn
drainpipe	draʸnpiʸp
drake	draʸk
dram	dram
drama	drama
dramatic	dramatik
dramatise	dramatíz
dramatist	dramatist
dramatize	dramatíz
drape	draʸp
draper	draʸper
drapery	draʸperé
draught	draft
draw	drå
drawback	dråbak
drawer	drår
drawing	dråiŋ
drawl	drål
drawstring	dråstriŋ
dray	draʸ
dread	dred
dreadlock	dredlok
dreadnought	drednåt
dream	dreʸm
dreamer	dreʸmer
dreary	dreʸré
dredge	drej
drench	drenc
dress	dres
dresser	dreser
dressing	dresiŋ
dressmaker	dresmaʸker
drib	drib
dribble	dribel
drier	driʸer
drift	drift
drifter	drifter
driftnet	driftnet
drill	dril
driller	driler
drink	driŋk
drinker	driŋker
drip	drip
drive	driʸv
driver	driʸver
driveway	driʸvwaʸ
droid	droʸd
drone	droʷn
drool	drq̇l
droop	drq̇p
drop	drop
droplet	droplet
dropout	dropqʷt
dropping	dropiŋ
drought	drqʷt
drove	droʷv
drover	droʷver
drown	drqʷn
drub	drub
drug	drug
druid	drúid
drum	drum
drummer	drumer
drumstick	drumstik
drunk	druŋk
drunkard	druŋkard
dry	driʸ
dryer	driʸer
dual	dúal
dualism	dúalizem
dub	dub
dubliner	dubliner
duchy	ducé
duck	duk
duckboard	dukboʷrd
duckling	dukliŋ
duct	dukt
dud	dud
dude	duʷd
duel	dúel
duet	dúet
duffer	dufer
duke	duʷk
dukery	duʷkeré
dull	dul
dulles	dules
dumbfound	dumfqʷnd
dummy	dumé
dump	dump
dumper	dumper
dumpling	dumpliŋ
dun	dun
dunce	duns
dune	duʷn
dungaree	duŋgaré
dungeon	dunjon
dunk	duŋk
duo	dúó
dupe	duʷp
duplex	dúpleks
duplicate	dúplikát
duplication	dúplikásion
durable	dúrabel
duration	dúrásion
dust	dust
dustbin	dustbin
duster	duster
dustman	dustman
dutchman	ducman
duty	dúté
duvet	dq̇vaʸ
dwarf	dworf
dwell	dwel
dweller	dweler
dwelling	dweliŋ
dwindle	dwindel
dye	diʸ
dyer	diʸer
dyestuff	diʸstuf
dyke	diʸk
dynamo	dínamó
dynasty	dínasté
dysfunction	disfuŋksion
dyslexic	disleksik
eagle	égel
eaglet	égelet
ear	eʸr
eardrum	eʸrdrum
earhole	eʸrhoʷl
earl	erl
earldom	erldom
earlobe	eʸrloʷb
early	erlé
earmark	eʸrmark
earn	ern
earner	erner
earphone	eʸrfoʷn
earplug	eʸrplug
earring	eʸrriŋ
earth	erþ
earthling	erþliŋ
earthquake	erþkwaʸk
earthwork	erþʷurk
earthworm	erþʷurm
earwig	érʷig
ease	eʸz
easel	ézel
easement	eʸzment
eastender	eʸstender
easterner	eʸsterner
easy	eʸzé
eat	eʸt
eater	eʸter
eatery	eʸteré
eave	eʸv
eavesdrop	eʸvzdrop
eavesdropper	eʸvzdroper
ebb	eb
eccentric	eksentrik
eccentricity	eksentrisité
ecclesiastic	ekléziastik
echelon	exelon
echo	ekó
eclipse	eklips
ecologist	ekolojist
econometric	ekonometrik
econometrician	ekonometrisian
economise	ekonomíz
economist	ekonomist
economize	ekonomíz
economy	ekonomé
ecosystem	ékósistem
ecstasy	ekstasé
ectotherm	ektóþerm
ed	ed
eddy	edé
edge	ej
edgeway	ejʷaʸ
edging	ejiŋ
edict	édikt
edifice	edifis
edify	edifí
edit	edit
edition	edision
editor	editor
editorial	editórial
educate	edúkát
education	edúkásion
educationalist	edúkásionalist
educationist	edúkásionist
educator	edúkátor
edwardian	edʷardian
eel	eʸl
efface	efás
effect	efekt
efficiency	efisiensé
effigy	efijé
effluent	eflúent
effort	effort
effusion	efúzion
egg	eg
eggshell	egxel
ego	égó
egret	egret
egyptian	ejipsian
eigenvalue	ígenvalú
eigenvector	ígenvektor
ejaculate	ejakúlát
eject	ejekt
ek	ek
elaborate	elaborat
elaborate	elaborát
elaboration	elaborásion
elapse	elaps
elasticate	elastikát
elasticity	elastisité
elbow	elbó
elder	elder
elderberry	elderberé
elect	elekt
election	eleksion
electioneer	eleksionér
elective	elektiv
elector	elektor
electorate	elektorat
electric	elektrik
electrical	elektrikal
electrician	elektrisian
electrify	elektrifí
electrocute	elektrokút
electrode	elektród
electrolyte	elektrolít
electron	elektron
electroplate	elektroplaʸt
electrostatic	elektróstatik
element	element
elephant	elefant
elevate	elevát
elevation	elevásion
elevator	elevátor
elf	elf
elicit	elisit
elide	elíd
eliminate	eliminát
elite	elét
elitist	elétist
elizabethan	elizabéþan
ell	el
elm	elm
elongate	eloŋgát
elope	elóp
else	els
elucidate	elúsidát
elude	elúd
elver	elver
emaciate	emásiát
emanate	emanát
emanation	emanásion
emancipate	emansipát
emasculate	emaskúlát
embalm	embalm
embalmer	embalmer
embankment	embaŋkment
embargoe	embargó
embark	embark
embarrass	embaras
embarrassment	embarasment
embassy	embasé
embattle	embatel
embed	embed
embellish	embelix
embellishment	embelixment
ember	ember
embezzle	embezel
embitter	embiter
emblazon	emblázon
emblem	emblem
embodiment	embodément
embody	embodé
embolden	emboʷlden
emboss	embos
embrace	embrás
embroider	embroʸder
embroiderer	embroʸderer
embroidery	embroʸderé
embroil	embroʸl
embryo	embrió
emerald	emerald
emerge	emerj
emergency	emerjensé
emigrant	emigrant
emigrate	emigrát
emigre	emigraʸ
eminence	eminens
emir	emér
emirate	emerat
emissary	emisaré
emission	emision
emit	emit
emitter	emiter
emolument	emolúment
emotion	emósion
emperor	emperor
emphasise	emfasíz
emphasize	emfasíz
empire	empír
empiricist	empirisist
emplacement	emplaʸsment
employ	emploʸ
employee	emploʸé
employer	emploʸer
employment	emploʸment
emporium	empórium
empower	empqʷr
empty	emté
emu	émú
emulate	emúlát
emulation	emúlásion
emulator	emúlátor
emulsify	emulsifí
emulsion	emulsion
en	en
enable	enábel
enabler	enábeler
enact	enakt
enactment	enaktment
enamel	enamel
encamp	enkamp
encampment	enkampment
encapsulate	enkapsulát
encase	enkaʸs
enchant	encant
enchantment	encantment
encircle	ensirkel
enclave	ankláv
enclose	enklóz
enclosure	enklózúr
encode	enkoʷd
encompass	enkumpas
encore	ankór
encounter	enkq́nter
encourage	enkuraj
encouragement	enkurajment
encroach	enkróc
encroachment	enkrócment
encrust	enkrust
encrypt	enkript
encumber	enkumber
encumbrance	enkumberans
encyclopaedia	ensíklopédia
encyclopedia	ensíklopédia
end	end
endanger	endánjer
endear	endeʸr
endearment	endeʸrment
endeavour	endevor
ender	ender
endgame	endgaʸm
ending	endiŋ
endorphin	endorfin
endorse	endors
endorsement	endorsment
endoscope	endoskóp
endoscopist	endoskopist
endoscopy	endoskopé
endow	endqʷ
endowment	endqʷment
endpaper	endpáper
endpoint	endpoʸnt
endure	endúr
enema	enema
enemy	enemé
energetic	enerjetik
energise	enerjíz
energize	enerjíz
energy	enerjé
enfeeble	enfébel
enfold	enfoʷld
enforce	enfoʷrs
enforcer	enfoʷrser
enfranchise	enfrancíz
engage	engáj
engagement	engájment
engender	enjender
engine	enjin
engineer	enjinér
english	iŋglix
englishman	iŋglixman
englishwoman	iŋglixwqman
engorge	engorj
engrave	engráv
engraver	engráver
engraving	engráviŋ
engross	engrós
engulf	engulf
enhance	enhans
enhancement	enhansment
enhancer	enhanser
enigma	enigma
enjoin	enjoʸn
enjoy	enjoʸ
enjoyment	enjoʸment
enlarge	enlarj
enlargement	enlarjment
enlighten	enliʸten
enlist	enlist
enliven	enliʸven
enmesh	enmex
enmity	enmité
ennoble	enóbel
enquire	enkwír
enquirer	enkwírer
enquiry	enkwíré
enrage	enraʸj
enrapture	enraptúr
enrich	enric
enrichment	enricment
enroll	enról
enrolment	enrólment
ensconce	enskons
ensemble	ansambel
enshrine	enxriʸn
enshroud	enxrqʷd
ensign	ensin
enslave	enslaʸv
ensnare	ensnaʸr
ensue	ensú
ensure	ensúr
ent	ent
entail	entál
entangle	entaŋgel
entanglement	entaŋgelment
entendre	antandra
enter	enter
enterprise	enterpríz
entertain	entertán
entertainer	entertáner
entertainment	entertánment
enthral	enþrål
enthuse	enþúz
enthusiasm	enþúziazem
enthusiast	enþúziast
entice	entís
entitle	entítel
entitlement	entítelment
entity	entité
entomb	entq̇m
entomologist	entemolojist
entrain	entrán
entrance	entrans
entrant	entrant
entrap	entrap
entreat	entrét
entreaty	entrété
entrench	entrenc
entrepreneur	antreprener
entropy	entropé
entrust	entrust
entry	entré
entwine	entwiʸn
enumerate	enúmerát
enumerator	enúmerátor
enunciate	enunsiát
envelop	envelop
envelope	envelóp
environment	envíronment
environmentalist	envíronmentalist
envisage	envizaj
envision	envizion
envoy	envoʸ
envy	envé
enzyme	enzím
eon	éon
epic	epik
epidemic	epidemik
epidemiologist	epidémiolojist
epigram	epigram
epiphany	epifané
episcopalian	episkopálian
episode	episód
epistle	episel
epitaph	epitaf
epithet	epiþet
epitome	epitomé
epitomise	epitomíz
epitomize	epitomíz
epoch	epok
equal	ékwol
equalise	ékwolíz
equality	ékwolité
equalize	ékwolíz
equate	ekwát
equation	ekwázion
equilibrium	ekwilibrium
equip	ekwip
equipment	ekwipment
equity	ekwité
equivalence	ekwivalens
equivalent	ekwivalent
equivocation	ekwivokásion
er	er
era	era
eradicate	eradikát
erase	erás
erect	erekt
erection	ereksion
eritrean	eritréan
erode	eród
erosion	erózion
eroticise	erotisíz
err	er
errand	erand
error	eror
erupt	erupt
eruption	erupsion
escalate	eskalát
escalator	eskalátor
escapade	eskapád
escape	eskáp
escapee	eskápé
escaper	eskáper
escarpment	eskarpment
eschew	escú
escort	eskort
escudo	eskq̇dó
escutcheon	eskucon
eskimo	eskimó
espalier	espalier
espouse	espq́z
espy	espé
esquire	eskwír
essay	esaʸ
essayist	esaʸist
essence	esens
essential	esensial
est	est
establish	establix
establishment	establixment
estate	estát
esteem	estém
ester	ester
estimate	estimát
estimation	estimásion
estimator	estimátot
estonian	estónian
estuary	estúaré
etch	ec
etching	eciŋ
ether	éþer
ethiopian	éþiópian
ethnographer	eþnografer
ethnomethodologist	eþnómeþodolojist
etruscan	etruskan
eugenicist	újenisist
eukaryote	úkariót
eulogy	úlojé
eunuch	únuk
euphemism	úfemizem
eurobond	úrobond
eurocheque	úrocek
eurocrat	úrokrat
eurodollar	úrodolar
euromarket	úromarket
european	úropéan
euroqualification	úrokwolifikásion
evacuate	evakúát
evacuation	evakúásion
evacuee	evakúé
evade	evád
evaluate	evalúát
evaluation	evalúásion
evaluator	evalúátor
evangelical	évanjelikal
evangelise	evanjelíz
evangelist	evanjelist
evaporate	evaporát
evasion	evázion
eve	eʸv
even	éven
evening	éveniŋ
event	event
eventuality	eventúalité
evergreen	evergreʸn
evict	evikt
eviction	eviksion
evidence	evidens
evil	évil
evince	evins
evocation	évókásion
evoke	evók
evolution	evolúsion
evolutionist	evolúsionist
evolve	evolv
ewe	uʷ
exacerbate	egzaserbát
exact	egzakt
exaction	egzaksion
exaggerate	egzajerát
exaggeration	egzajerásion
exalt	egzålt
exam	egzam
examination	egzaminásion
examine	egzamin
examiner	egzaminer
example	egzampel
exasperate	egzasperát
excavate	ekskavát
excavation	ekskavásion
excavator	ekskavátor
exceed	ekséd
excel	eksel
except	eksept
exception	eksepsion
exceptional	eksepsional
excerpt	ekserpt
excess	ekses
exchange	ekscánj
exchanger	ekscánjer
excise	eksíz
excitation	eksításion
excite	eksít
excitement	eksítment
exclaim	eksklám
exclamation	eksklamásion
exclude	eksklúd
excluder	eksklúder
exclusion	eksklúzion
excommunicate	ekskomúnikát
excoriate	ekskóriát
excrete	ekskrét
excretion	ekskrésion
excursion	ekskurzion
excursionist	ekskurzionist
excuse	ekskúz
exec	egzek
executable	eksekútabel
execute	eksekút
execution	eksekúsion
executioner	eksekúsioner
executive	egzekútiv
executor	egzekútor
exemplar	egzemplar
exemplify	egzemplifí
exempt	egzemt
exemption	egzemsion
exercise	eksersíz
exert	egzert
exertion	egzersion
exhalation	ekshalásion
exhale	ekshál
exhaust	egzåst
exhibit	egzibit
exhibition	egzibision
exhibitor	egzibitor
exhort	egzort
exhortation	egzortásion
exhume	egzúm
exigency	eksijensé
exile	egzíl
exist	egzist
existence	egzistens
existent	egzistent
exit	egzit
exon	ekson
exonerate	egzonerát
exorcise	eksorsíz
exorcism	eksorsizem
exorcize	eksorsíz
exotic	egzotik
expand	ekspand
expanse	ekspans
expansion	ekspansion
expat	ekspat
expatriate	ekspátriát
expect	ekspekt
expectancy	ekspektansé
expectation	ekspektásion
expedient	ekspédient
expedite	ekspedít
expedition	ekspedision
expel	ekspel
expend	ekspend
expenditure	ekspenditúr
expense	ekspens
experience	ekspériens
experiment	eksperiment
experimentalist	eksperimentalist
experimenter	eksperimenter
expert	ekspert
expire	ekspír
explain	eksplán
explanation	eksplanásion
explant	eksplant
expletive	ekspletiv
explicate	eksplikát
explode	eksplód
exploit	eksploʸt
exploiter	eksploʸter
exploration	eksplorásion
explore	eksplór
explorer	eksplórer
explosion	eksplózion
explosive	eksplósiv
exponent	ekspónent
export	eksport
exporter	eksporter
expose	ekspóz
exposition	ekspozision
expostulate	ekspostúlát
exposure	ekspózúr
expound	ekspq́nd
express	ekspres
expression	ekspresion
expressionist	ekspresionist
expropriate	eksprópriát
expropriation	eksprópriásion
expulsion	ekspulsion
expunge	ekspunj
extend	ekstend
extension	ekstension
extent	ekstent
extenuate	ekstenúát
exterior	ekstérior
exterminate	eksterminát
external	eksternal
externality	eksternalité
externalize	eksternalíz
extinction	ekstiŋksion
extinguish	ekstiŋgwix
extinguisher	ekstiŋgwixer
extol	ekstól
extort	ekstort
extra	ekstra
extract	ekstrakt
extraction	ekstraksion
extradite	ekstradít
extrapolate	ekstrapolát
extrapolation	ekstrapolásion
extraterrestrial	ekstraterestrial
extravagance	ekstravagans
extravaganza	ekstravaganza
extreme	ekstrém
extremist	ekstrémist
extremity	ekstremité
extricate	ekstrikát
extrovert	ekstrovert
extrude	ekstrúd
extrusion	ekstrúzion
exude	egzúd
exult	egzult
eye	iʸ
eyeball	iʸbål
eyebrow	iʸbrqʷ
eyelash	iʸlax
eyelet	iʸlet
eyelid	iʸlid
eyeshadow	iʸxadó
eyesore	iʸsoʷr
eyewitness	iʸwitnes
eyre	aʸr
fable	fábel
fabric	fabrik
fabricate	fabrikát
fabrication	fabrikásion
facade	fasad
face	faʸs
facelift	faʸslift
facet	faset
facial	fásial
facilitate	fasilitát
facilitator	fasilitátor
facility	fasilité
facing	fásing
facsimile	faksimilé
fact	fakt
faction	faksion
factor	faktor
factorise	faktoríz
factory	faktoré
factsheet	faktxeʸt
faculty	fakulté
fad	fad
fade	faʸd
faeces	féséz
fag	fag
faggot	fagot
fail	faʸl
failing	faʸliŋ
failure	fálúr
faint	faʸnt
fair	faʸr
fairground	faʸrgrqʷnd
fairing	faʸriŋ
fairway	faʸrwaʸ
fairy	fáré
fairytale	fárétaʸl
faith	faʸþ
faithful	faʸþfql
fake	faʸk
faker	faʸker
falcon	falkon
fall	fål
fallacy	falasé
fallow	faló
falsehood	folshqd
falsification	folsifikásion
falsificationist	folsifikásionist
falsify	folsifí
falter	folter
familiar	familiar
familiarise	familiaríz
familiarize	familiaríz
family	familé
famine	famin
fan	fan
fanatic	fanatik
fancier	fanséer
fancy	fansé
fanfare	fanfár
fang	faŋ
fanny	fané
fantasia	fantázia
fantasise	fantasíz
fantasize	fantasíz
fantasy	fantasé
fanzine	fanzén
far	far
farce	fars
fare	faʸr
farewell	faʸrʷel
farm	farm
farmer	farmer
farmhouse	farmhqʷs
farmland	farmland
farmstead	farmsted
farmworker	farmwurker
farmyard	farmyard
farrier	farier
farrow	faró
fart	fart
farthing	farðiŋ
fascia	fasia
fascinate	fasinát
fascination	fasinásion
fascist	faxist
fashion	fasion
fast	fast
fasten	fasen
fastener	fasener
fastening	faseniŋ
fastness	fastnes
fat	fat
fatality	fátalité
fate	faʸt
father	faðer
fathom	faðom
fatigue	fatég
fatten	faten
fatty	faté
fault	fålt
fauna	fåna
fave	faʸv
favela	favela
favor	fávor
favour	fávor
favourite	fávorit
favourite	fávorit
fawn	fån
fax	faks
fay	faʸ
faze	faʸz
fear	feʸr
feast	feʸst
feat	feʸt
feather	feðer
feature	fétúr
federalist	federalist
federate	federat
federate	federát
federation	federásion
fee	feʸ
feeble	fébel
feed	feʸd
feedback	feʸdbak
feeder	feʸder
feedstock	feʸdstok
feedstuff	feʸdstuf
feel	feʸl
feeler	feʸler
feeling	feʸliŋ
feign	faʸn
feint	faʸnt
fel	fel
feldspar	feldspar
felicity	felisité
feline	félín
fell	fel
fella	fela
feller	feler
fellow	feló
fellowship	felóxip
felon	felon
felony	feloné
felt	felt
felucca	feluka
female	fémál
feminist	feminist
fen	fen
fence	fens
fend	fend
fender	fender
ferment	ferment
fern	fern
ferret	feret
ferry	feré
fertilise	fertilíz
fertiliser	fertilízer
fertilize	fertilíz
fertilizer	fertilízer
fester	fester
festival	festival
festivity	festivité
festoon	festq̇n
fetch	fec
fete	fet
fetish	fetix
fetlock	fetlok
fetter	feter
feud	fuʷd
fever	féver
fiasco	féaskó
fib	fib
fiber	fíber
fibre	fíber
fiction	fiksion
fiddle	fidel
fiddler	fideler
fide	fiʸd
fidget	fijet
fief	feʸf
fiefdom	feʸfdom
field	feʸld
fielder	feʸlder
fieldnote	feʸldnoʷt
fieldsman	feʸldsman
fieldworker	feʸldwurker
fiend	feʸnd
fierce	feʸrs
fig	fig
fight	fiʸt
fighter	fiʸter
figment	figment
figure	figúr
figurehead	figúrhed
figurine	figúrén
fijian	féjéan
filament	filament
filch	filc
file	fiʸl
filename	fiʸlnaʸm
filibuster	filibuster
filing	fiʸliŋ
filipino	filipénó
fill	fil
filler	filer
fillet	filaʸ
filling	filiŋ
filly	filé
film	film
filmmaker	filmmaʸker
filmmaking	filmmaʸkiŋ
filter	filter
filthy	filþé
fin	fin
final	fínal
finale	finalé
finalise	fínalíz
finalist	fínalist
finalize	fínalíz
finance	finans
financier	finansér
financing	finansiŋ
finch	finc
find	fiʸnd
finder	fiʸnder
finding	fiʸndiŋ
fine	fiʸn
finger	fiŋger
fingerboard	fiŋgerboʷrd
fingering	fiŋgeriŋ
fingernail	fiŋgernaʸl
fingerprint	fiŋgerprint
fingerspell	fiŋgerspel
fingertip	fiŋgertip
finish	finix
finisher	finixer
finn	fin
fir	fir
fire	fiʸr
firearm	fiʸrarm
fireball	fiʸrbål
firebomb	fiʸrbom
firecracker	fiʸrkraker
firefight	fiʸrfiʸt
firefighter	fiʸrfiʸter
firefly	fiʸrfliʸ
firelighter	fiʸrliʸter
fireman	fiʸrman
fireplace	fiʸrplaʸs
fireship	fiʸrxip
firework	fiʸrwurk
firing	fiʸriŋ
firm	firm
firmlet	firmlet
first	first
firstfruit	firstfruʷt
fish	fix
fisher	fixer
fisherman	fixerman
fishery	fixeré
fishkeeper	fixkeʸper
fishmonger	fixmoŋger
fishpond	fixpond
fissure	fisúr
fist	fist
fisticuff	fistikuf
fistula	fistúla
fit	fit
fitment	fitment
fitter	fiter
fitting	fitiŋ
fiver	fiʸver
fix	fiks
fixate	fiksát
fixation	fiksásion
fixer	fikser
fixing	fiksiŋ
fixture	fikstúr
fizz	fiz
fizzle	fizel
fjord	fʸord
flag	flag
flagon	flagon
flagstone	flagstoʷn
flail	flaʸl
flake	flaʸk
flame	flaʸm
flamingo	flamiŋgó
flan	flan
flange	flanj
flank	flaŋk
flanker	flaŋker
flannel	flanel
flap	flap
flare	flaʸr
flash	flax
flashback	flaxbak
flasher	flaxer
flashing	flaxiŋ
flashlight	flaxliʸt
flashpoint	flaxpoʸnt
flashy	flaxé
flask	flask
flat	flat
flatland	flatland
flatmate	flatmaʸt
flatten	flaten
flatter	flater
flatterer	flaterer
flatty	flaté
flatworm	flatwurm
flaunt	flånt
flavonoid	flavanoʸd
flavour	flávor
flavouring	flávoriŋ
flaw	flå
flay	flaʸ
flea	fleʸ
fleck	flek
fledge	flej
fledgling	flejliŋ
flee	fleʸ
fleece	fleʸs
fleet	fleʸt
flesh	flex
flex	fleks
flick	flik
flicker	fliker
flier	fliʸer
flight	fliʸt
flimsy	flimzé
flinch	flinc
fling	fliŋ
flint	flint
flip	flip
flipper	fliper
